iter	Passed	Remaining
0	124	124840
1	145	72427
2	161	53601
3	176	43829
4	190	37967
5	205	34017
6	220	31237
7	233	28992
8	247	27286
9	261	25916
10	275	24798
11	289	23821
12	302	22970
13	316	22299
14	330	21679
15	344	21184
16	358	20707
17	371	20289
18	387	19996
19	401	19652
20	415	19362
21	430	19119
22	442	18815
23	456	18547
24	469	18320
25	483	18107
26	497	17925
27	510	17737
28	524	17575
29	537	17380
30	551	17231
31	564	17067
32	577	16927
33	590	16770
34	606	16712
35	619	16578
36	634	16508
37	648	16423
38	662	16315
39	676	16236
40	690	16162
41	706	16123
42	725	16152
43	740	16087
44	753	15989
45	767	15918
46	781	15844
47	794	15760
48	806	15660
49	819	15571
50	833	15500
51	846	15436
52	859	15365
53	874	15319
54	889	15287
55	905	15265
56	923	15273
57	938	15238
58	954	15218
59	981	15384
60	1004	15469
61	1031	15599
62	1061	15786
63	1093	15995
64	1125	16193
65	1147	16243
66	1170	16296
67	1191	16328
68	1215	16396
69	1237	16443
70	1255	16433
71	1278	16481
72	1301	16523
73	1323	16559
74	1344	16576
75	1366	16615
76	1388	16638
77	1409	16665
78	1430	16680
79	1455	16738
80	1475	16743
81	1493	16723
82	1512	16707
83	1531	16702
84	1553	16717
85	1575	16739
86	1594	16730
87	1610	16691
88	1627	16661
89	1644	16627
90	1663	16614
91	1683	16610
92	1701	16597
93	1720	16579
94	1737	16552
95	1756	16536
96	1771	16493
97	1785	16432
98	1799	16378
99	1814	16327
100	1830	16291
101	1849	16278
102	1866	16257
103	1880	16198
104	1902	16216
105	1919	16192
106	1933	16135
107	1954	16138
108	1977	16164
109	1999	16176
110	2022	16194
111	2043	16202
112	2063	16196
113	2077	16148
114	2099	16158
115	2123	16182
116	2136	16127
117	2159	16144
118	2181	16149
119	2198	16124
120	2218	16118
121	2233	16072
122	2249	16038
123	2266	16013
124	2280	15963
125	2296	15929
126	2321	15954
127	2339	15935
128	2354	15899
129	2368	15851
130	2382	15805
131	2398	15771
132	2414	15737
133	2430	15710
134	2448	15691
135	2464	15657
136	2479	15616
137	2498	15609
138	2518	15599
139	2538	15593
140	2564	15620
141	2582	15605
142	2602	15597
143	2619	15572
144	2640	15568
145	2652	15516
146	2668	15482
147	2684	15451
148	2702	15432
149	2723	15431
150	2745	15434
151	2760	15399
152	2773	15354
153	2789	15322
154	2803	15285
155	2818	15247
156	2838	15241
157	2854	15214
158	2873	15197
159	2898	15217
160	2918	15209
161	2938	15202
162	2956	15179
163	2975	15168
164	2995	15160
165	3015	15148
166	3030	15117
167	3052	15118
168	3073	15113
169	3088	15078
170	3102	15042
171	3124	15043
172	3142	15021
173	3158	14992
174	3176	14975
175	3194	14955
176	3208	14916
177	3228	14907
178	3248	14899
179	3263	14865
180	3277	14829
181	3296	14817
182	3314	14796
183	3330	14771
184	3348	14751
185	3365	14727
186	3380	14697
187	3397	14674
188	3413	14646
189	3426	14608
190	3441	14577
191	3459	14557
192	3475	14530
193	3491	14504
194	3506	14475
195	3525	14461
196	3540	14431
197	3554	14398
198	3570	14371
199	3587	14350
200	3601	14317
201	3617	14289
202	3637	14280
203	3652	14252
204	3673	14247
205	3691	14227
206	3710	14215
207	3725	14186
208	3741	14159
209	3756	14130
210	3772	14105
211	3786	14075
212	3802	14050
213	3817	14020
214	3835	14004
215	3849	13973
216	3863	13942
217	3877	13908
218	3893	13886
219	3907	13854
220	3922	13827
221	3938	13804
222	3951	13768
223	3962	13728
224	3977	13701
225	3991	13671
226	4009	13654
227	4024	13626
228	4038	13596
229	4056	13580
230	4071	13553
231	4085	13525
232	4102	13506
233	4116	13476
234	4132	13452
235	4146	13423
236	4161	13397
237	4175	13367
238	4187	13334
239	4203	13309
240	4219	13289
241	4233	13260
242	4250	13241
243	4265	13214
244	4279	13188
245	4297	13172
246	4310	13142
247	4325	13116
248	4341	13094
249	4355	13066
250	4371	13046
251	4387	13022
252	4401	12995
253	4420	12982
254	4433	12952
255	4447	12924
256	4459	12893
257	4473	12866
258	4488	12842
259	4504	12819
260	4518	12794
261	4533	12769
262	4547	12742
263	4563	12722
264	4579	12702
265	4595	12679
266	4611	12658
267	4624	12632
268	4639	12607
269	4656	12591
270	4672	12568
271	4689	12551
272	4705	12531
273	4721	12511
274	4738	12492
275	4754	12470
276	4770	12451
277	4785	12429
278	4800	12404
279	4814	12380
280	4832	12365
281	4848	12344
282	4863	12321
283	4877	12296
284	4891	12272
285	4907	12251
286	4920	12224
287	4939	12212
288	4958	12200
289	4978	12189
290	4998	12177
291	5019	12170
292	5039	12159
293	5055	12140
294	5074	12126
295	5093	12113
296	5115	12108
297	5133	12092
298	5150	12074
299	5167	12058
300	5185	12042
301	5203	12026
302	5220	12009
303	5238	11993
304	5253	11970
305	5269	11951
306	5285	11931
307	5305	11920
308	5323	11903
309	5340	11887
310	5360	11876
311	5377	11859
312	5395	11842
313	5412	11825
314	5427	11803
315	5443	11782
316	5457	11759
317	5473	11737
318	5490	11721
319	5509	11707
320	5527	11691
321	5543	11672
322	5561	11656
323	5578	11638
324	5596	11622
325	5614	11607
326	5633	11594
327	5650	11575
328	5665	11555
329	5681	11534
330	5695	11511
331	5710	11490
332	5727	11472
333	5743	11452
334	5761	11436
335	5777	11418
336	5793	11397
337	5809	11378
338	5826	11361
339	5845	11347
340	5861	11327
341	5879	11311
342	5896	11295
343	5912	11275
344	5929	11257
345	5945	11237
346	5962	11221
347	5980	11205
348	6000	11192
349	6018	11176
350	6034	11158
351	6053	11144
352	6072	11130
353	6090	11114
354	6110	11102
355	6131	11092
356	6149	11075
357	6166	11058
358	6183	11040
359	6199	11021
360	6214	11000
361	6229	10978
362	6249	10966
363	6263	10943
364	6280	10925
365	6299	10912
366	6315	10892
367	6332	10875
368	6350	10860
369	6365	10838
370	6382	10820
371	6400	10804
372	6416	10786
373	6431	10764
374	6447	10745
375	6463	10727
376	6479	10707
377	6495	10688
378	6513	10673
379	6531	10657
380	6550	10642
381	6568	10627
382	6589	10614
383	6605	10596
384	6624	10581
385	6643	10568
386	6663	10554
387	6680	10536
388	6696	10518
389	6712	10499
390	6728	10480
391	6744	10460
392	6759	10440
393	6775	10420
394	6791	10402
395	6808	10384
396	6825	10367
397	6842	10350
398	6860	10333
399	6877	10316
400	6893	10297
401	6909	10278
402	6924	10258
403	6940	10238
404	6958	10223
405	6977	10208
406	6995	10192
407	7013	10175
408	7030	10159
409	7050	10145
410	7059	10116
411	7076	10099
412	7093	10082
413	7109	10063
414	7125	10044
415	7139	10022
416	7154	10003
417	7172	9986
418	7190	9970
419	7209	9955
420	7227	9940
421	7246	9925
422	7264	9909
423	7281	9892
424	7298	9874
425	7314	9855
426	7332	9839
427	7349	9822
428	7366	9804
429	7382	9786
430	7400	9769
431	7415	9749
432	7429	9729
433	7445	9709
434	7459	9689
435	7474	9669
436	7490	9650
437	7506	9631
438	7524	9615
439	7543	9600
440	7561	9584
441	7579	9568
442	7595	9550
443	7612	9532
444	7628	9513
445	7643	9493
446	7657	9473
447	7673	9454
448	7689	9436
449	7707	9420
450	7725	9403
451	7745	9390
452	7760	9371
453	7778	9354
454	7795	9337
455	7812	9320
456	7830	9304
457	7845	9284
458	7861	9265
459	7875	9245
460	7890	9225
461	7905	9206
462	7921	9187
463	7938	9170
464	7963	9161
465	7981	9146
466	7999	9130
467	8017	9113
468	8034	9096
469	8049	9077
470	8066	9060
471	8083	9042
472	8099	9024
473	8113	9003
474	8127	8983
475	8142	8963
476	8160	8947
477	8179	8931
478	8197	8916
479	8217	8902
480	8234	8884
481	8249	8865
482	8265	8847
483	8281	8829
484	8297	8810
485	8311	8790
486	8328	8772
487	8344	8754
488	8362	8738
489	8377	8719
490	8395	8703
491	8411	8685
492	8429	8669
493	8448	8654
494	8466	8637
495	8482	8619
496	8498	8601
497	8515	8583
498	8531	8565
499	8547	8547
500	8562	8528
501	8579	8511
502	8596	8493
503	8615	8478
504	8633	8462
505	8650	8445
506	8667	8428
507	8684	8411
508	8700	8393
509	8717	8375
510	8731	8355
511	8747	8337
512	8763	8318
513	8778	8300
514	8794	8282
515	8809	8263
516	8827	8247
517	8841	8227
518	8857	8208
519	8872	8190
520	8889	8173
521	8907	8156
522	8925	8140
523	8943	8123
524	8961	8107
525	8979	8091
526	8998	8076
527	9019	8062
528	9035	8044
529	9052	8027
530	9069	8010
531	9087	7994
532	9104	7977
533	9121	7960
534	9138	7943
535	9156	7926
536	9172	7908
537	9187	7889
538	9204	7872
539	9220	7854
540	9235	7835
541	9252	7818
542	9268	7800
543	9283	7781
544	9302	7766
545	9322	7751
546	9342	7737
547	9359	7720
548	9377	7703
549	9397	7688
550	9413	7670
551	9432	7655
552	9451	7639
553	9473	7626
554	9489	7608
555	9508	7592
556	9526	7576
557	9544	7560
558	9561	7543
559	9581	7528
560	9598	7511
561	9616	7494
562	9633	7477
563	9650	7460
564	9665	7441
565	9681	7423
566	9695	7403
567	9709	7384
568	9724	7365
569	9738	7346
570	9754	7328
571	9770	7310
572	9786	7292
573	9803	7275
574	9820	7258
575	9837	7241
576	9852	7222
577	9869	7205
578	9887	7189
579	9903	7171
580	9921	7155
581	9939	7138
582	9957	7122
583	9974	7105
584	9993	7089
585	10012	7073
586	10030	7057
587	10048	7040
588	10068	7025
589	10083	7007
590	10101	6990
591	10119	6974
592	10137	6957
593	10153	6939
594	10170	6922
595	10187	6905
596	10203	6888
597	10218	6869
598	10232	6850
599	10246	6830
600	10261	6812
601	10275	6793
602	10293	6776
603	10309	6759
604	10323	6740
605	10339	6722
606	10356	6705
607	10372	6687
608	10388	6669
609	10405	6652
610	10423	6636
611	10440	6619
612	10458	6602
613	10476	6586
614	10494	6569
615	10512	6553
616	10529	6535
617	10546	6519
618	10566	6503
619	10585	6487
620	10600	6469
621	10618	6453
622	10634	6435
623	10649	6416
624	10665	6399
625	10681	6381
626	10698	6364
627	10715	6347
628	10730	6329
629	10747	6312
630	10762	6293
631	10775	6274
632	10792	6257
633	10807	6238
634	10821	6220
635	10837	6202
